,Industry,Company(1),Business Description,Investment,Interest(5)(11),Acquisition  Date,Amortized  Cost,Fair Value
0,Investment Funds and Vehicles,"CIC Flex, LP (10)",Investment partnership,Limited partnership units (0.94 units),,9/7/2007,0.0,248
1,Investment Funds and Vehicles,"Covestia Capital Partners, LP (10)",Investment partnership,Limited partnership interest (47.00% interest),,6/17/2008,487.0,1863
2,Investment Funds and Vehicles,"HCI Equity, LLC (8)(9)(10)",Investment company,Member interest (100.00% interest),,4/1/2010,0.0,128
3,Investment Funds and Vehicles,"Imperial Capital Private Opportunities, LP (10)(29)",Investment partnership,Limited partnership interest (80.00% interest),,5/10/2007,4214.0,20380
4,Investment Funds and Vehicles,"Partnership Capital Growth Fund I, L.P. (10)",Investment partnership,Limited partnership interest (25.00% interest),,6/16/2006,0.0,873
5,Investment Funds and Vehicles,"Partnership Capital Growth Investors III, L.P. (10)(29)",Investment partnership,Limited partnership interest (2.50% interest),,10/5/2011,2722.0,2861
6,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment, L.P. (10)(29)",Investment partnership,Limited partnership interest (100.00% interest),,5/22/2014,6500.0,8042
7,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment II, L.P. (10)(29)",Investment partnership,Limited partnership interest (100.00% interest),,10/31/2014,2147.0,1279
8,Investment Funds and Vehicles,"Piper Jaffray Merchant Banking Fund I, L.P. (10)(29)",Investment partnership,Limited partnership interest (2.00% interest),,8/16/2012,1240.0,1342
9,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (8)(11)(30),Co-investment vehicle,"Subordinated certificates ($2,089,348 par due 12/2024)",8.27% (Libor + 8.00%/M)(24),10/30/2009,2089348.0,2099796
10,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (8)(11)(30),Co-investment vehicle,Member interest (87.50% interest),,10/30/2009,0.0,0
11,Investment Funds and Vehicles,VSC Investors LLC (10),Investment company,Membership interest (1.95% interest),,1/24/2008,879.0,1661
12,Investment Funds and Vehicles,VSC Investors LLC (10),Investment company,,,,2107537.0,2138473
13,Healthcare Services,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",,12/13/2013,3087.0,1913
