,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Investments,Investments,,,,,,,,,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,,,,,,,,,
4,Aerospace and Defense,NTS Technical Systems*#+~,Senior loan,L + 5.50(c),6.50,06/2023,,40173,,,,39983,,,1.6,,,40173
5,Aerospace and Defense,NTS Technical Systems~,Second lien,L + 9.75(c),10.75,12/2023,4589,,,4524,,,0.2,,4589,,,
6,Aerospace and Defense,NTS Technical Systems+Senior loan,Second lien,L + 5.50(c),6.50,06/2023,1247,,,1195,,,0,,1247,,,
7,Aerospace and Defense,NTS Technical Systems+(5),Senior loan,L + 5.50,N/A(6),06/2023,0,,,(26),,,0,,0,,,
8,Aerospace and Defense,"Tronair Parent, Inc.+Senior loan",Senior loan,L + 6.25(c)(e),6.75 cash/0.50 PIK,09/2023,680,,,676,,,0,,606,,,
9,Aerospace and Defense,"Tronair Parent, Inc.+Senior loan",Senior loan,L + 6.25(c),6.75 cash/0.50 PIK,06/2023,20,,,17,,,0,,4,,,
10,Aerospace and Defense,Whitcraft LLC*#+~,One stop,L + 6.00(c),7.00,04/2023,63253,,,63492,,,2.4,,61355,,,
11,Aerospace and Defense,Whitcraft LLC+(5),One stop,L + 6.00,N/A(6),04/2023,0,,,(1),,,0,,(9),,,
12,Airlines,Airlines,One stop,,,,,,,,,,,,,,,
13,Airlines,Aurora Lux Finco S.A.R.L.+(8)(13),One stop,L + 6.00(c),7.00,12/2026,985,,,967,,,0,,936,,,
14,Auto Components,Auto Components,One stop,,,,,,,,,,,,,,,
15,Auto Components,"Covercraft Parent III, Inc.+Senior loan",One stop,L + 4.50(c),5.50,08/2027,4927,,,4878,,,0.2,,4877,,,
16,Auto Components,"Covercraft Parent III, Inc.+(5)",Senior loan,L + 4.50,N/A(6),08/2027,0,,,(1),,,0,,(1),,,
17,Auto Components,"Covercraft Parent III, Inc.+(5)",Senior loan,L + 4.50,N/A(6),08/2027,0,,,(18),,,0,,(18),,,
18,Auto Components,"North Haven Falcon Buyer, LLC",One stop,L + 6.00(a),7.00,05/2027,6160,,,6045,,,0.2,,6160,,,
19,Auto Components,"North Haven Falcon Buyer, LLC+(5)",One stop,L + 6.00,N/A(6),05/2027,0,,,(19),,,0,,0,,,
20,Auto Components,Polk Acquisition Corp.*#+Senior loan,One stop,L + 6.00(a),7.00,12/2023,18106,,,17991,,,0.7,,18106,,,
21,Auto Components,Polk Acquisition Corp.+Senior loan,One stop,L + 6.00(a),7.00,12/2023,181,,,182,,,0,,181,,,
22,Auto Components,Polk Acquisition Corp.+Senior loan,One stop,L + 6.00(a),7.00,12/2023,107,,,106,,,0,,107,,,
23,Auto Components,"Power Stop, LLC+~",Senior loan,L + 4.50(a),4.58,10/2025,2813,,,2856,,,0.1,,2813,,,
24,Automobiles,Automobiles,Senior loan,,,,,,,,,,,,,,,
25,Automobiles,"CG Group Holdings, LLC+One stop",Senior loan,L + 5.25(c),6.25,07/2027,31463,,,31159,,,1.2,,31148,,,
26,Automobiles,"CG Group Holdings, LLC+One stop",Senior loan,L + 5.25(a)(c),6.25,07/2026,168,,,164,,,0,,164,,,
27,Automobiles,JHCC Holdings LLC,One stop,L + 5.50(c),6.50,09/2025,15472,,,15253,,,0.6,,15318,,,
28,Automobiles,JHCC Holdings LLC+One stop,One stop,P + 4.50(f),7.75,08/2027,501,,,496,,,0,,496,,,
29,Automobiles,JHCC Holdings LLC+One stop,One stop,L + 5.50(c)(f),6.89,09/2025,298,,,296,,,0,,295,,,
30,Automobiles,JHCC Holdings LLC+One stop,One stop,P + 4.50(f),7.53,09/2025,7,,,6,,,0,,6,,,
31,Automobiles,JHCC Holdings LLC+(5),One stop,L + 5.50,N/A(6),08/2027,0,,,(33),,,0,,(33),,,
32,Automobiles,"MOP GM Holding, LLC*#+~",One stop,L + 5.75(c),6.75,11/2026,24221,,,23961,,,1.0,,23980,,,
33,Automobiles,"MOP GM Holding, LLC+One stop",One stop,L + 5.75(d),6.75,11/2026,2604,,,2576,,,0.1,,2578,,,
34,Automobiles,"MOP GM Holding, LLC+One stop",One stop,L + 5.75(c),6.75,11/2026,1930,,,1909,,,0.1,,1910,,,
35,Automobiles,"MOP GM Holding, LLC+(5)",One stop,L + 5.75,N/A(6),11/2026,0,,,(2),,,0,,(2),,,
36,Automobiles,"MOP GM Holding, LLC+(5)",One stop,L + 5.75,N/A(6),11/2026,0,,,(76),,,0,,(64),,,
37,Automobiles - (continued),Automobiles - (continued),One stop,,,,,,,,,,,,,,,
38,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC*#",One stop,L + 5.50(c),6.50,10/2024,,12950,,,,12963,,,0.5,,,12950
39,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L + 5.50(b)(c),6.50,10/2024,3953,,,3888,,,0.2,,3953,,,
40,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC#+One stop",One stop,L + 5.50(c),6.50,10/2024,2337,,,2318,,,0.1,,2337,,,
41,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 5.50(c),6.50,10/2024,2042,,,2072,,,0.1,,2042,,,
42,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 5.50(c),6.50,10/2024,1364,,,1386,,,0.1,,1364,,,
43,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L + 5.50(c),6.50,10/2024,1111,,,1141,,,0,,1111,,,
44,Automobiles - (continued),"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L + 5.50,N/A(6),10/2024,0,,,0,,,0,,0,,,
45,Automobiles - (continued),"TWAS Holdings, LLC*+One stop",One stop,L + 6.00(c),7.00,12/2026,30878,,,30539,,,1.2,,30878,,,
46,Automobiles - (continued),"TWAS Holdings, LLC+One stop",One stop,L + 6.00(c),7.00,12/2026,8014,,,7928,,,0.3,,8014,,,
47,Automobiles - (continued),"TWAS Holdings, LLC+(5)",One stop,L + 6.00,N/A(6),12/2026,0,,,(4),,,0,,0,,,
48,Beverages,Beverages,One stop,,,,,,,,,,,,,,,
49,Beverages,"Fintech Midco, LLC*#",One stop,L + 5.75(c),6.50,08/2024,24163,,,24389,,,0.9,,23921,,,
50,Beverages,"Fintech Midco, LLC+One stop",One stop,L + 5.75(b),6.50,08/2024,15337,,,15188,,,0.6,,15184,,,
51,Beverages,"Fintech Midco, LLC#+One stop",One stop,L + 5.75(c),6.50,08/2024,1119,,,1146,,,0,,1108,,,
52,Beverages,"Fintech Midco, LLC+(5)",One stop,L + 5.75,N/A(6),08/2024,0,,,(1),,,0,,(2),,,
53,Beverages,"Watermill Express, LLC+One stop",One stop,L + 5.25(c),6.25,04/2027,2267,,,2246,,,0.1,,2267,,,
54,Beverages,"Watermill Express, LLC+One stop",One stop,L + 5.25,N/A(6),04/2027,0,,,0,,,0,,0,,,
55,Beverages,"Watermill Express, LLC+(5)",One stop,L + 5.25,N/A(6),04/2027,0,,,(1),,,0,,0,,,
56,Beverages,"Winebow Holdings, Inc.",One stop,L + 6.25(a),7.25,07/2025,7878,,,7773,,,0.3,,7878,,,
57,Biotechnology,Biotechnology,One stop,,,,,,,,,,,,,,,
58,Biotechnology,"BIO18 Borrower, LLC#+One stop",One stop,L + 4.75(a)(c),5.75,11/2024,10962,,,10990,,,0.4,,10880,,,
59,Biotechnology,"BIO18 Borrower, LLC+One stop",One stop,L + 4.75(a),5.75,11/2024,7948,,,7891,,,0.3,,7888,,,
60,Biotechnology,"BIO18 Borrower, LLC*#+One stop",One stop,L + 4.75(a),5.75,11/2024,3922,,,3898,,,0.2,,3894,,,
61,Biotechnology,"BIO18 Borrower, LLC+(5)",One stop,L + 4.75,N/A(6),11/2024,0,,,(1),,,0,,(2),,,
62,Building Products,Building Products,One stop,,,,,,,,,,,,,,,
63,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L + 4.50(c)(f),5.50,03/2024,,4149,,,,4150,,,0.2,,,4107
64,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L + 4.50(b)(c)(f),5.50,03/2024,1403,,,1426,,,0.1,,1389,,,
65,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L + 4.50(c)(f),5.50,03/2024,904,,,914,,,0,,895,,,
66,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L + 4.50(c)(f),5.50,03/2024,852,,,844,,,0,,844,,,
67,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L + 4.50(c)(f),5.50,03/2024,434,,,444,,,0,,430,,,
68,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L + 4.50(c)(f),5.50,03/2024,277,,,279,,,0,,274,,,
69,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L + 4.50(c)(f),5.50,03/2024,216,,,216,,,0,,214,,,
70,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L + 4.50(c)(f),5.50,03/2024,115,,,115,,,0,,114,,,
71,Building Products,"Jensen Hughes, Inc.+(5)",Senior loan,L + 4.50,N/A(6),03/2024,0,,,(14),,,0,,(15),,,
72,Chemicals,Chemicals,Senior loan,,,,,,,,,,,,,,,
73,Chemicals,Inhance Technologies Holdings LLC#+One stop,Senior loan,L + 6.00(c),7.00,07/2024,12573,,,12663,,,0.5,,12573,,,
74,Chemicals,Inhance Technologies Holdings LLC+One stop,Senior loan,L + 6.00(c),7.00,07/2024,1910,,,1901,,,0.1,,1910,,,
75,Chemicals,Inhance Technologies Holdings LLC+One stop,Senior loan,L + 6.00(c),7.00,07/2024,96,,,95,,,0,,96,,,
76,Chemicals,PHM NL SP Bidco B.V.(8)(9)(14),One stop,E + 6.25(g),6.25,10/2028,36686,,,36182,,,1.4,,36182,,,
77,Chemicals,PHM NL SP Bidco B.V.+(8)(14),One stop,L + 6.25(d),6.75,10/2028,13766,,,13576,,,0.5,,13576,,,
