,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value,10
0,Investments,Investments,,,,,,,,,
1,Non-controlled/non-affiliate company investments,Non-controlled/non-affiliate company investments,,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,,
4,Aerospace and Defense,"Tronair Parent, Inc.+(22)",Senior loan,L +6.25(b),10.34cash/0.50PIK,09/2023,668,667,-,614,
5,Aerospace and Defense,"Tronair Parent, Inc.+(22)",Senior loan,L +6.25(b),10.34cash/0.50PIK,06/2023,120,120,-,108,
6,Aerospace and Defense,Whitcraft LLC*#+One stop,Senior loan,SF +7.0(l),11.73,12/2023,68383,68395,2.8,68383,
7,Aerospace and Defense,Whitcraft LLC+One stop,Senior loan,SF +6.0(a)(d)(l),10.84,12/2023,240,238,-,240,
8,Airlines,Airlines,Senior loan,,,,,,,,
9,Airlines,Aurora Lux Finco S.A.R.L. +(8)(13),One stop,L +6.0(b),10.32,12/2026,973,960,-,924,
10,Auto Components,Auto Components,One stop,,,,,,,,
11,Auto Components,"COP CollisionRight Holdings, Inc.#+One stop",One stop,SF +4.75(l),9.39,04/2028,9766,9618,0.4,9571,
12,Auto Components,"COP CollisionRight Holdings, Inc.+One stop",One stop,SF +4.75(l),9.48,04/2028,27,26,-,25,
13,Auto Components,"COP CollisionRight Holdings, Inc.+(5)",One stop,SF +4.75,N/A(6),04/2028,-,(2),-,(2),
14,Auto Components,"Covercraft Parent III, Inc.+Senior loan",One stop,L +4.5(b),8.24,08/2027,4877,4840,0.2,4780,
15,Auto Components,"Covercraft Parent III, Inc.+Senior loan",One stop,L +4.5(b),9.23,08/2027,994,974,-,958,
16,Auto Components,"Covercraft Parent III, Inc.+Senior loan",One stop,L +4.5(b),9.23,08/2027,19,18,-,17,
17,Auto Components,"North Haven Falcon Buyer, LLC+One stop",One stop,L +6.5(b),11.18,05/2027,6083,5993,0.3,5779,
18,Auto Components,"North Haven Falcon Buyer, LLC+One stop",One stop,L +6.5(b),11.23,05/2027,1019,1004,-,968,
19,Auto Components,Polk Acquisition Corp.*#+(22),Senior loan,SF +6.25(k),9.57cash/1.00PIK,12/2024,18022,17958,0.7,17660,
20,Auto Components,Polk Acquisition Corp.+Senior loan,Senior loan,SF +6.5(k),10.82,03/2023,695,694,-,684,
21,Auto Components,Polk Acquisition Corp.+(22),Senior loan,SF +6.25(k),9.57cash/1.00PIK,12/2024,50,52,-,47,
22,Auto Components,Polk Acquisition Corp.+(22),Senior loan,SF +6.25(k),9.57cash/1.00PIK,12/2024,107,106,-,104,
23,Automobiles,Automobiles,Senior loan,,,,,,,,
24,Automobiles,"CG Group Holdings, LLC*#+(22)",One stop,L +7.25(b),9.98cash/2.00PIK,07/2027,31520,31183,1.2,28999,
25,Automobiles,"CG Group Holdings, LLC+(22)",One stop,L +7.25(a),9.63cash/2.00PIK,07/2026,340,336,-,316,
26,Automobiles,"Denali Midco 2, LLC*#+One stop",One stop,SF +6.25(k),10.67,12/2027,42756,42401,1.7,41919,
27,Automobiles,"Denali Midco 2, LLC+(5)",One stop,SF +6.25,N/A(6),12/2027,-,(4),-,(10),
28,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),10.67,12/2027,197,195,-,193,
29,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),10.67,12/2027,99,98,-,97,
30,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),10.67,12/2027,79,79,-,78,
31,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),10.67,12/2027,79,79,-,78,
32,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),10.67,12/2027,66,65,-,64,
33,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.5(k),10.92,12/2027,976,948,-,966,
34,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),10.67,12/2027,658,653,-,645,
35,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),10.67,12/2027,120,119,-,117,
36,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),10.67,12/2027,114,113,-,111,
37,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.25(k),10.67,12/2027,82,81,-,80,
38,Automobiles,"Denali Midco 2, LLC+(5)",One stop,SF +6.5,N/A(6),12/2027,-,(22),-,(8),
39,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.5(k),10.92,12/2027,130,127,-,129,
40,Automobiles,"Denali Midco 2, LLC+One stop",One stop,SF +6.5(k),10.92,12/2027,65,63,-,65,
41,Automobiles,JHCC Holdings LLC+One stop,One stop,L +5.75(b),10.48,09/2025,15275,15093,0.6,14817,
42,Automobiles,JHCC Holdings LLC+One stop,One stop,P +4.75(d),12.25,09/2025,494,490,-,480,
43,Automobiles,JHCC Holdings LLC+One stop,One stop,L +5.75(b)(d),11.03,09/2025,294,292,-,285,
44,Automobiles,JHCC Holdings LLC+One stop,One stop,P +4.75(b)(d),11.52,09/2025,61,61,-,58,
45,Automobiles,JHCC Holdings LLC+One stop,One stop,L +5.75(b),10.48,09/2025,1779,1747,0.1,1679,
46,Automobiles,"MOP GM Holding, LLC*#+One stop",One stop,SF +5.75(m),9.98,11/2026,23916,23719,0.9,22721,
47,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),10.45,11/2026,2622,2603,0.1,2491,
48,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),10.70,11/2026,2592,2558,0.1,2463,
49,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),10.45,11/2026,2572,2551,0.1,2443,
50,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),10.79,11/2026,1906,1890,0.1,1810,
51,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),8.98,11/2026,1567,1555,0.1,1488,
52,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),10.62,11/2026,1444,1422,0.1,1372,
53,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),9.98,11/2026,526,522,-,499,
54,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),9.50,11/2026,358,354,-,340,
55,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(l),9.55,11/2026,147,146,-,140,
56,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),10.79,11/2026,60,59,-,57,
57,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),10.58,11/2026,136,134,-,126,
58,Automobiles,"MOP GM Holding, LLC+(5)",One stop,SF +5.75,N/A(6),11/2026,-,(20),-,-,
59,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(l),8.99,11/2026,179,178,-,170,
60,Automobiles,"MOP GM Holding, LLC+One stop",One stop,SF +5.75(m),8.94,11/2026,60,59,-,57,
61,Automobiles,"POY Holdings, LLC#",One stop,L +5.5(b),10.23,11/2027,9519,9363,0.4,9519,
62,Automobiles,"POY Holdings, LLC+One stop",One stop,L +5.5(b),10.23,11/2027,36,32,-,36,
63,Automobiles,"POY Holdings, LLC+(5)",One stop,L +5.5,N/A(6),11/2027,-,(1),-,-,
64,Automobiles,"POY Holdings, LLC+One stop",One stop,L +5.5(b),10.23,11/2027,81,81,-,81,
65,Automobiles,"National Express Wash Parent Holdco, LLC+One stop",One stop,SF +5.5(m),10.29,07/2029,3150,3121,0.1,3024,
66,Automobiles,"National Express Wash Parent Holdco, LLC+(5)",One stop,SF +5.5,N/A(6),07/2029,-,(2),-,(8),
67,Automobiles,"National Express Wash Parent Holdco, LLC+One stop",One stop,SF +5.5(m),10.22,07/2029,1493,1472,0.1,1403,
68,Automobiles,"Quick Quack Car Wash Holdings, LLC*#",One stop,L +7.0(b),11.41,10/2024,12783,12753,0.5,12655,
69,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L +7.0(b),11.41,10/2024,9748,9713,0.4,9651,
70,Automobiles,"Quick Quack Car Wash Holdings, LLC#+One stop",One stop,L +7.0(b),11.41,10/2024,2306,2298,0.1,2284,
71,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L +7.0(b),11.41,10/2024,2015,2029,0.1,1994,
72,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L +7.0(b),11.41,10/2024,1347,1356,0.1,1333,
73,Automobiles,"Quick Quack Car Wash Holdings, LLC*+One stop",One stop,L +7.0(b),11.41,10/2024,1097,1100,-,1086,
74,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L +7.0(b),11.41,10/2024,95,90,-,94,
75,Automobiles,"Quick Quack Car Wash Holdings, LLC+(5)",One stop,SF +7.0,N/A(6),10/2024,-,-,-,(2),
76,Automobiles,"Quick Quack Car Wash Holdings, LLC+(5)",One stop,SF +7.0,N/A(6),10/2024,-,(1),-,(1),
77,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L +7.0(b),11.41,10/2024,344,340,-,341,
78,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L +7.0(b),11.41,10/2024,104,99,-,103,
79,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L +7.0(c),11.72,10/2024,3310,3278,0.1,3277,
80,Automobiles,"Quick Quack Car Wash Holdings, LLC+One stop",One stop,L +7.0(b),11.41,10/2024,95,93,-,94,
81,Automobiles,"Spotless Brands, LLC+One stop",One stop,SF +6.5(l),10.71,07/2028,8369,8214,0.4,8285,
82,Automobiles,"Spotless Brands, LLC+One stop",One stop,SF +6.5(k)(l),11.12,07/2028,908,900,-,899,
83,Automobiles,"Spotless Brands, LLC+(5)",One stop,SF +6.5,N/A(6),07/2028,-,(1),-,-,
84,Automobiles,"Spotless Brands, LLC+One stop",One stop,SF +6.5(l),10.71,07/2028,673,667,-,667,
85,Automobiles,"TWAS Holdings, LLC#+One stop",One stop,SF +6.75(k),11.17,12/2026,40357,40038,1.6,39954,
