,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Investments,,,,,,,,,,,,,,,
1,Canada,,,,,,,,,,,,,,,
2,Debt investments,,,,,,,,,,,,,,,
3,"Leisure, Amusement, Motion Pictures,",,,,,,,,,,,,,,,
4,Entertainment,,,,,,,,,,,,,,,
5,"Extreme Fitness, Inc.  (3)",Subordinated Debt,,No Value,,12.00 cash/2.50 PIK,,11/2015,,2932,,2810,,0,,0
6,United States,,,,,,,,,,,,,,,
7,Debt investments,,,,,,,,,,,,,,,
8,Aerospace and Defense,,,,,,,,,,,,,,,
9,"ILC Dover, LP",Senior Loan,,L + 6.00,,7.25,,07/2017,,608,,604,,0.1,,596
10,"ILC Dover, LP",Senior Loan,,P + 6.00,,8.25,,07/2017,,34,,27,,0,,25
11,"ILC Dover, LP",Senior Loan,,L + 6.00,,7.25,,07/2017,,4366,,4295,,0.7,,4278
12,"Tresys Technology Holdings, Inc.  (4)",One Stop,,L + 6.75,,(5),,12/2017,,0,,(9,,0,,(13
13,"Tresys Technology Holdings, Inc.",One Stop,,L + 6.75,,8.00,,12/2017,,4000,,3910,,0.7,,3920
14,TurboCombustor Technology Inc.*,Senior Loan,,L + 4.75,,5.75,,12/2017,,383,,383,,0.1,,381
15,TurboCombustor Technology Inc.*,Senior Loan,,L + 5.00,,6.00,,12/2017,,898,,895,,0.1,,893
16,Whitcraft LLC,Subordinated Debt,,No Value,,12.00,,12/2018,,1877,,1851,,0.3,,1877
17,"White Oak Technologies, Inc.",Senior Loan,,L + 5.00,,6.25,,03/2017,,53,,45,,0,,53
18,"White Oak Technologies, Inc.*",Senior Loan,,L + 5.00,,6.25,,03/2017,,1857,,1826,,0.3,,1857
19,Automobile,,,,,,,,,,,,,,,
20,"ABRA, Inc.  (4)",One Stop,,L + 5.75,,(5),,05/2018,,0,,(63,,0,,(44
21,"ABRA, Inc.",One Stop,,P + 5.75,,7.75,,05/2018,,1962,,1941,,0.3,,1948
22,"ABRA, Inc.*",One Stop,,L + 5.75,,7.00,,05/2018,,26438,,26245,,4.4,,26306
23,"American Driveline Systems, Inc.",Senior Loan,,P + 7.50,,9.75,,01/2016,,391,,386,,0.1,,352
24,"American Driveline Systems, Inc.*",Senior Loan,,P + 7.50,,9.75,,01/2016,,2840,,2803,,0.4,,2556
25,"Express Oil Change, LLC",Senior Loan,,P + 4.75,,6.75,,12/2017,,119,,115,,0,,119
26,"Express Oil Change, LLC",Senior Loan,,L + 4.75,,6.00,,12/2017,,181,,178,,0,,181
27,"Express Oil Change, LLC*",Senior Loan,,P + 4.75,,6.75,,12/2017,,1865,,1849,,0.3,,1865
28,"K&N Engineering, Inc.  (4)",Senior Loan,,P + 4.50,,(5),,04/2018,,0,,(8,,0,,(4
29,"K&N Engineering, Inc.*",Senior Loan,,L + 4.50,,5.75,,04/2018,,7297,,7191,,1.2,,7225
30,Banking,,,,,,,,,,,,,,,
31,Prommis Fin Co.*  (3),Senior Loan,,P + 10.50,,2.25 cash/11.50 PIK,,06/2015,,212,,191,,0,,36
32,Prommis Fin Co.,Senior Loan,,P + 11.00,,13.25,,06/2015,,126,,125,,0,,126
33,Prommis Fin Co.*  (3),Second Lien,,P + 10.50,,2.25 cash/11.50 PIK,,06/2015,,425,,382,,0,,0
34,Prommis Fin Co.*  (3),Subordinated Debt,,P + 10.50,,2.25 cash/11.50 PIK,,06/2015,,213,,191,,0,,0
35,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,
36,ABP Corporation,Senior Loan,,P + 3.50,,7.25,,06/2016,,63,,58,,0,,63
37,ABP Corporation*,Senior Loan,,L + 4.75,,6.00,,06/2016,,4501,,4450,,0.7,,4501
38,"American Importing Company, Inc.",One Stop,,L + 5.75,,7.00,,05/2018,,14843,,14651,,2.4,,14694
39,"Ameriqual Group, LLC*",Senior Loan,,L + 5.00,,6.50,,03/2016,,1727,,1708,,0.3,,1693
40,"Ameriqual Group, LLC",Senior Loan,,L + 7.50,,9.00,,03/2016,,833,,824,,0.1,,800
41,"Atkins Nutritionals, Inc.*",One Stop,,L + 5.00,,6.25,,01/2019,,22395,,22141,,3.7,,22465
42,"Atkins Nutritionals, Inc.",One Stop,,L + 8.50,,9.75,,04/2019,,17270,,16810,,2.9,,17486
43,"Candy Intermediate Holdings, Inc.",Senior Loan,,L + 6.25,,7.50,,06/2018,,4950,,4806,,0.8,,4900
44,"Firebirds International, LLC  (4)",One Stop,,L + 5.75,,(5),,05/2018,,0,,(7,,0,,(6
45,"Firebirds International, LLC  (4)",One Stop,,L + 5.75,,(5),,05/2018,,0,,(2,,0,,(1
46,"Firebirds International, LLC*",One Stop,,L + 5.75,,7.00,,05/2018,,912,,900,,0.1,,902
47,"First Watch Restaurants, Inc.",One Stop,,L + 7.50,,8.75,,12/2016,,420,,396,,0.1,,420
48,"First Watch Restaurants, Inc.",One Stop,,L + 7.50,,8.75,,12/2016,,618,,594,,0.1,,618
49,"First Watch Restaurants, Inc.*",One Stop,,P + 7.50,,9.75,,12/2016,,11443,,11284,,1.9,,11443
50,IT'SUGAR LLC,Subordinated Debt,,No Value,,8.00,,10/2017,,1707,,1707,,0.4,,2697
51,IT'SUGAR LLC,Senior Loan,,L + 8.50,,10.00,,04/2017,,4223,,4159,,0.7,,4223
52,Julio & Sons Company  (4),One Stop,,L + 5.50,,(5),,09/2014,,0,,(9,,0,,0
53,Julio & Sons Company*,One Stop,,L + 5.50,,7.00,,09/2016,,7067,,7022,,1.2,,7067
54,Julio & Sons Company  (4),One Stop,,L + 5.50,,(5),,09/2016,,0,,(10,,0,,0
55,"Northern Brewer, LLC",One Stop,,P + 6.50,,8.50,,02/2018,,332,,320,,0.1,,319
56,"Northern Brewer, LLC",One Stop,,L + 6.50,,8.00,,02/2018,,6494,,6343,,1.1,,6397
57,"Richelieu Foods, Inc.",Senior Loan,,P + 5.00,,7.25,,11/2015,,108,,100,,0,,108
58,"Richelieu Foods, Inc.*",Senior Loan,,L + 5.00,,6.75,,11/2015,,1988,,1962,,0.3,,1988
59,Smashburger Finance LLC  (4),Senior Loan,,L + 4.25,,(5),,05/2018,,0,,(6,,0,,(4
60,Smashburger Finance LLC*,Senior Loan,,L + 4.25,,5.50,,05/2018,,3274,,3250,,0.5,,3258
61,Building and Real Estate,,,,,,,,,,,,,,,
