,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value
0,Investments,Investments,,,,,,,,
1,United States,United States,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
4,Aerospace and Defense,"ILC Dover, LP",One stop,P + 4.50,7.75,03/2019,600.0,593.0,0.1,564.0
5,Aerospace and Defense,"ILC Dover, LP^",One stop,L + 5.50,6.50,03/2020,18477.0,18357.0,2.4,17923.0
6,Aerospace and Defense,"ILC Industries, Inc.  (3)",One stop,L + 4.75,(4),07/2020,0.0,,0.0,0.0
7,Aerospace and Defense,"ILC Industries, Inc.*^",One stop,L + 4.75,5.75,07/2020,28331.0,28069.0,3.8,28331.0
8,Aerospace and Defense,NTS Technical Systems  (3),One stop,L + 5.50,(4),11/2018,0.0,,0.0,0.0
9,Aerospace and Defense,NTS Technical Systems*^,One stop,L + 5.50,6.75,11/2018,18823.0,18540.0,2.6,18823.0
10,Aerospace and Defense,NTS Technical Systems  (3),One stop,L + 5.50,(4),11/2018,0.0,,0.0,0.0
11,Aerospace and Defense,"Tresys Technology Holdings, Inc.",One stop,L + 6.75,8.00,12/2017,188.0,182.0,0.0,188.0
12,Aerospace and Defense,"Tresys Technology Holdings, Inc.",One stop,L + 6.75,8.00,12/2017,3899.0,3841.0,0.3,1950.0
13,Aerospace and Defense,Whitcraft LLC,Subordinated debt,No Value,12.00,12/2018,1877.0,1858.0,0.3,1877.0
14,Automobile,Automobile,Subordinated debt,,,,,,,
15,Automobile,"American Driveline Systems, Inc.",Senior loan,L + 5.50,7.17,01/2016,306.0,303.0,0.0,267.0
16,Automobile,"American Driveline Systems, Inc.*",Senior loan,L + 5.50,7.00,01/2016,2790.0,2771.0,0.3,2511.0
17,Automobile,"K&N Engineering, Inc.  (3)",Senior loan,L + 4.25,(4),07/2019,0.0,,0.0,0.0
18,Automobile,"K&N Engineering, Inc.^",Senior loan,L + 4.25,5.25,07/2019,2905.0,2855.0,0.4,2905.0
19,Automobile,"K&N Engineering, Inc.  (3)",Senior loan,L + 4.25,(4),07/2019,0.0,,0.0,0.0
20,Automobile,"Take 5 Oil Change, L.L.C.  (3)",Senior loan,L + 5.25,(4),07/2018,0.0,,0.0,0.0
21,Automobile,"Take 5 Oil Change, L.L.C.^",Senior loan,L + 5.25,6.25,07/2018,4860.0,4831.0,0.7,4860.0
22,Banking,Banking,Senior loan,,,,,,,
23,Banking,HedgeServ Holding L.P.^,One stop,L + 8.25,5.25  cash/4.00 PIK,02/2019,17416.0,17277.0,2.4,17416.0
24,Banking,HedgeServ Holding L.P.  (3),One stop,L + 4.25,(4),02/2019,0.0,,0.0,0.0
25,Banking,Prommis Fin Co.  (6),Senior loan,P + 10.00,13.25,06/2015,82.0,81.0,0.0,2.0
26,Banking,Prommis Fin Co.*  (6),Senior loan,No Value,2.25  cash/11.5 PIK,06/2015,119.0,119.0,0.0,3.0
27,"Beverage, Food and Tobacco","Beverage, Food and Tobacco",Senior loan,,,,,,,
28,"Beverage, Food and Tobacco",ABP Corporation,Senior loan,P + 3.50,7.25,09/2018,209.0,203.0,0.0,209.0
29,"Beverage, Food and Tobacco",ABP Corporation*,Senior loan,L + 4.75,6.00,09/2018,4783.0,4719.0,0.7,4783.0
30,"Beverage, Food and Tobacco",ARG IH Corporation (Arby's)^,Senior loan,L + 3.75,4.75,11/2020,2331.0,2306.0,0.3,2328.0
31,"Beverage, Food and Tobacco","Atkins Nutritionals, Inc*^",One stop,L + 5.00,6.25,01/2019,23873.0,23695.0,3.2,23574.0
32,"Beverage, Food and Tobacco","Atkins Nutritionals, Inc*",One stop,L + 8.50,9.75,04/2019,21636.0,21343.0,2.9,21527.0
33,"Beverage, Food and Tobacco","C. J. Foods, Inc.  (3)",One stop,L + 5.50,(4),05/2019,0.0,,0.0,0.0
34,"Beverage, Food and Tobacco","C. J. Foods, Inc.  (3)",One stop,L + 5.50,(4),05/2019,0.0,,0.0,0.0
35,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 5.50,6.50,05/2019,3216.0,3174.0,0.4,3216.0
36,"Beverage, Food and Tobacco","Candy Intermediate Holdings, Inc. (Ferrara  Candy)^",Senior loan,L + 6.25,7.50,06/2018,4875.0,4775.0,0.6,4717.0
37,"Beverage, Food and Tobacco","Diversified Foodservice Supply, Inc.  (3)",Senior loan,L + 4.50,(4),12/2018,0.0,,0.0,0.0
38,"Beverage, Food and Tobacco","Diversified Foodservice Supply, Inc.*",Senior loan,L + 4.50,5.75,12/2018,4556.0,4520.0,0.6,4556.0
