,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value
0,Investments,Investments,,,,,,,,
1,United States,United States,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace  and Defense,Aerospace  and Defense,,,,,,,,
4,Aerospace  and Defense,"ILC  Dover, LP  (3)",Senior loan,L  + 5.50,(4),03/2019,0,(9,0,(9
5,Aerospace  and Defense,"ILC Dover, LP",Senior loan,P  + 4.50,7.75,03/2020,18830,18689,2.6,18689
6,Aerospace  and Defense,NTS  Technical Systems  (3),One stop,L  + 5.50,(4),11/2018,0,(20,0,(9
7,Aerospace  and Defense,NTS  Technical Systems  (3),One stop,L  + 5.50,(4),11/2018,0,(63,0,(30
8,Aerospace  and Defense,NTS Technical Systems*,One stop,L  + 5.50,6.75,11/2018,18966,18642,2.6,18776
9,Aerospace  and Defense,"Tresys  Technology Holdings, Inc.  (3)",One stop,L  + 6.75,(4),12/2017,0,(7,0,0
10,Aerospace  and Defense,"Tresys Technology Holdings,  Inc.",One stop,L  + 6.75,8.00,12/2017,3899,3827,0.4,2924
11,Aerospace  and Defense,Whitcraft LLC,Subordinated debt,No Value,12.00,12/2018,1877,1855,0.3,1877
12,Aerospace  and Defense,"White  Oak Technologies, Inc.  (3)",Senior loan,L  + 5.00,6.25,03/2017,15,8,0,15
13,Aerospace  and Defense,"White Oak  Technologies, Inc.*",Senior loan,L  + 5.00,6.25,03/2017,1784,1755,0.2,1784
14,Automobile,Automobile,Senior loan,,,,,,,
15,Automobile,"ABRA, Inc  (3)(5)",One stop,L  + 6.00,(4),05/2018,0,(17,0,0
16,Automobile,"ABRA, Inc*  (5)",One stop,L  + 6.00,7.25,05/2018,31230,30960,4.3,31230
17,Automobile,"ABRA, Inc  (5)",One stop,L  + 6.00,7.25,05/2018,5179,5147,0.7,5179
18,Automobile,"ABRA, Inc  (5)",One stop,L  + 6.00,7.25,05/2018,1041,995,0.2,1041
19,Automobile,"ABRA, Inc*",One stop,L  + 7.75,9.00,05/2018,4334,4267,0.6,4334
20,Automobile,"American Driveline Systems,  Inc.",Senior loan,L  + 5.50,7.14,01/2016,290,285,0,251
21,Automobile,"American Driveline Systems,  Inc.*",Senior loan,L  + 5.50,7.00,01/2016,2812,2780,0.4,2530
22,Automobile,"K&N Engineering,  Inc.  (3)",Senior loan,L  + 4.50,(4),04/2018,0,(7,0,0
23,Automobile,"K&N Engineering, Inc.*",Senior loan,L  + 4.50,5.75,04/2018,3732,3686,0.5,3732
24,Automobile,"K&N Engineering, Inc.*",Senior loan,P  + 3.50,6.75,04/2018,3510,3467,0.5,3510
25,Automobile,"Take  5 Oil Change, L.L.C.  (3)",Senior loan,L  + 5.25,(4),07/2018,0,(3),0,0
26,Automobile,"Take 5 Oil Change, L.L.C.",Senior loan,L  + 5.25,6.25,07/2018,2964,2945,0.4,2964
27,Automobile,"Tectum  Holdings, Inc.*",Senior loan,L  + 4.25,5.25,09/2018,876,874,0.1,874
28,Banking,Banking,Senior loan,,,,,,,
29,Banking,HedgeServ  Holding L.P.  (3),One stop,L  + 4.25,(4),02/2019,0,(9,0,(9
30,Banking,HedgeServ Holding L.P.,One stop,L  + 8.25,9.25,02/2019,17069,16903,2.3,16898
31,Banking,Prommis  Fin Co.  (6),Senior loan,P  + 10.00,13.25,06/2015,85,84,0,2
32,Banking,Prommis  Fin Co.*  (6),Senior loan,No Value,2.25  cash/8.25 PIK,06/2015,124,124,0,3
33,"Beverage,  Food and Tobacco","Beverage,  Food and Tobacco",Senior loan,,,,,,,
34,"Beverage,  Food and Tobacco",ABP Corporation,Senior loan,P  + 3.50,7.25,06/2016,84,80,0,84
35,"Beverage,  Food and Tobacco",ABP Corporation*,Senior loan,L  + 4.75,6.00,06/2016,4467,4428,0.6,4467
36,"Beverage,  Food and Tobacco","American Importing Company,  Inc.",One stop,L  + 5.75,7.00,05/2018,14731,14570,2.1,14731
37,"Beverage,  Food and Tobacco","Ameriqual Group, LLC*",Senior loan,L  + 6.25,6.50  cash /1.00 PIK,03/2016,1730,1709,0.2,1661
38,"Beverage,  Food and Tobacco","Ameriqual Group, LLC*",Senior loan,L  + 8.00,9.00  cash /1.50 PIK,03/2016,829,823,0.1,763
39,"Beverage,  Food and Tobacco",ARG IH Corporation (Arby's),Senior loan,L  + 4.00,5.00,11/2020,2349,2321,0.3,2368
40,"Beverage,  Food and Tobacco","Atkins Nutritionals, Inc*",One stop,L  + 5.00,6.25,01/2019,22226,22008,3.1,22504
