,0,1,2,3,4,5,6,7,8,9
0,Investments,Investments,,,,,,,,
1,United States,United States,,,,,,,,
2,Debt investments,Debt investments,,,,,,,,
3,Aerospace and Defense,Aerospace and Defense,,,,,,,,
4,Aerospace and Defense,"ILC Dover, LP",One stop,P + 4.50,7.75,03/2019,360.0,352,0.1,360
5,Aerospace and Defense,"ILC Dover, LPˆ",One stop,L + 5.50,6.50,03/2020,18594.0,18467,2.5,18594
6,Aerospace and Defense,"ILC Industries, Inc.  (3)",One stop,L + 4.75,(4),07/2020,0.0,(32,0.0,(25
7,Aerospace and Defense,"ILC Industries, Inc.*ˆ",One stop,L + 4.75,5.75,07/2020,28510.0,28234,3.9,28296
8,Aerospace and Defense,Novetta Solutions LLC,Senior loan,P + 3.00,6.25,03/2017,184.0,178,0.0,184
9,Aerospace and Defense,Novetta Solutions LLC*,Senior loan,L + 5.00,6.25,03/2017,1697.0,1673,0.2,1697
10,Aerospace and Defense,NTS Technical Systems  (3),One stop,L + 6.00,(4),11/2018,0.0,(30,0.0,0
11,Aerospace and Defense,NTS Technical Systems*ˆ,One stop,L + 6.00,7.25,11/2018,18871.0,18572,2.6,18871
12,Aerospace and Defense,NTS Technical Systems  (3),One stop,L + 6.00,(4),11/2018,0.0,(63,0.0,0
13,Aerospace and Defense,"Tresys Technology Holdings, Inc.",One stop,L + 6.75,8.00,12/2017,188.0,181,0.0,188
14,Aerospace and Defense,"Tresys Technology Holdings, Inc.",One stop,L + 6.75,8.00,12/2017,3899.0,3836,0.3,2339
15,Aerospace and Defense,Whitcraft LLC,Subordinated debt,No Value,12.00,12/2018,1877.0,1857,0.3,1877
16,Automobile,Automobile,Subordinated debt,,,,,,,
17,Automobile,"American Driveline Systems, Inc.",Senior loan,L + 5.50,7.22,01/2016,331.0,328,0.0,292
18,Automobile,"American Driveline Systems, Inc.*",Senior loan,L + 5.50,7.00,01/2016,2797.0,2774,0.3,2517
19,Automobile,"K&N Engineering, Inc.  (3)",Senior loan,L + 4.25,(4),07/2019,0.0,(7,0.0,(2
20,Automobile,"K&N Engineering, Inc.*ˆ",Senior loan,L + 4.25,5.25,07/2019,6816.0,6721,0.9,6782
21,Automobile,"K&N Engineering, Inc.  (3)",Senior loan,L + 4.25,(4),07/2019,0.0,(19,0.0,(2
22,Automobile,"Take 5 Oil Change,  L.L.C.  (3)",Senior loan,L + 5.25,(4),07/2018,0.0,(7,0.0,0
23,Automobile,"Take 5 Oil Change,  L.L.C.ˆ",Senior loan,L + 5.25,6.25,07/2018,4872.0,4840,0.7,4872
24,Banking,Banking,Senior loan,,,,,,,
25,Banking,HedgeServ Holding L.P.ˆ,One stop,L + 8.25,5.25 cash/  4.00 PIK,02/2019,17240.0,17092,2.4,17240
26,Banking,HedgeServ Holding L.P.  (3),One stop,L + 4.25,(4),02/2019,0.0,(8,0.0,0
27,Banking,Prommis Fin Co.  (6),Senior loan,P + 10.00,13.25,06/2015,85.0,84,0.0,2
28,Banking,Prommis Fin Co.*  (6),Senior loan,No Value,2.25 cash/  11.5 PIK,06/2015,124.0,124,0.0,3
29,"Beverage, Food and Tobacco","Beverage, Food and Tobacco",Senior loan,,,,,,,
30,"Beverage, Food and Tobacco",ABP Corporation,Senior loan,P + 3.50,7.25,09/2018,84.0,77,0.0,84
31,"Beverage, Food and Tobacco",ABP Corporation*,Senior loan,L + 4.75,6.00,09/2018,4796.0,4727,0.7,4796
32,"Beverage, Food and Tobacco","Ameriqual Group, LLC*",Senior loan,L + 6.00,6.50 cash/  1.00 PIK,03/2016,1693.0,1676,0.2,1625
33,"Beverage, Food and Tobacco","Ameriqual Group, LLC*",Senior loan,L + 9.00,9.00 cash/  1.50 PIK,03/2016,831.0,826,0.1,686
34,"Beverage, Food and Tobacco",ARG IH Corporation (Arby’s)ˆ,Senior loan,L + 3.75,4.75,11/2020,2337.0,2311,0.3,2339
35,"Beverage, Food and Tobacco","Atkins Nutritionals, Inc*ˆ",One stop,L + 5.00,6.25,01/2019,23873.0,23683,3.2,23754
36,"Beverage, Food and Tobacco","Atkins Nutritionals, Inc*",One stop,L + 8.50,9.75,04/2019,21636.0,21326,3.0,21744
37,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 5.50,6.50,05/2019,86.0,77,0.0,86
38,"Beverage, Food and Tobacco","C. J. Foods, Inc.  (3)",One stop,L + 5.50,(4),05/2019,0.0,(12,0.0,0
39,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 5.50,6.50,05/2019,3224.0,3179,0.4,3224
