,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,Fair  Value
2,"42 North Dental, LLC (fka Gentle Communications, LLC) (15)",Dental services provider,First lien senior secured revolving loan ($3.3 par due 5/2022),8.50% (Base Rate + 5.25%/Q),5/26/2017,3.3,3.0
3,"42 North Dental, LLC (fka Gentle Communications, LLC) (15)",Dental services provider,First lien senior secured revolving loan ($1.8 par due 5/2022),7.57% (Libor + 6.25%/Q),5/26/2017,1.8,1.6
5,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($0.8 par due 1/2022),"8.50% (Libor + 6.75% Cash, 0.75% PIK/Q)",1/15/2019,0.8,0.8
6,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($24.6 par due 1/2022),0,1/5/2016,24.2,14.3
7,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A preferred units (4,000,000 units)",0,1/5/2016,4.0,0.0
8,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A common units (4,000,000 units)",0,1/5/2016,0.0,0.0
10,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",0,6/22/2017,0.1,0.0
11,"ADCS Billings Intermediate Holdings, LLC (15)",Dermatology practice,First lien senior secured revolving loan ($5.0 par due 5/2022),6.75% (Libor + 5.75%/Q),5/18/2016,5.0,4.8
12,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,First lien senior secured revolving loan ($13.8 par due 9/2022),"6.32% (Libor + 2.50% Cash, 2.75% PIK/M)",9/28/2016,13.8,11.8
13,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,Second lien senior secured loan ($97.7 par due 3/2024),0,9/28/2016,89.0,68.4
14,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,"Membership units (3,000,000 units)",0,9/28/2016,3.0,0.0
16,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,First lien senior secured loan ($1.7 par due 4/2022),4.25% (Libor + 3.25%/Q),4/3/2020,1.6,1.6
17,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),8.88% (Libor + 7.88%/Q),3/14/2018,182.7,182.7
18,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",0,3/14/2018,0.9,1.4
20,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($3.0 par due 9/2022),7.50% (Libor + 6.50%/Q),5/15/2017,3.0,2.5
21,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,Second lien senior secured loan ($210.3 par due 2/2027),8.82% (Libor + 8.50%/Q),2/11/2019,210.3,206.1
