,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20
0,Non-Controlled/Non-Affiliated Investments,,,,,,,,,,,,,,,,,,
1,Corporate Debt,,,,,,,,,,,,,,,,,,
2,Secured Debt,,,,,,,,,,,,,,,,,,
3,First Lien Secured Debt,,,,,,,,,,,,,,,,,,
4,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,,,,,,,,,,,,
5,"American Media, Inc. (16)",,"Advertising, Printing & Publishing",,"8.50 (1M L+750, 1.00 Floor)",,8/24/20,,,15467.0,,,,15048.0,,,,15467,
6,Aptevo Therapeutics Inc. (9)(16)(23),,Healthcare & Pharmaceuticals,,8.38 (1M L+760),,2/1/21,,8571,,,8605,,,8419,,,,
7,"Aptevo Therapeutics Inc., Unfunded Delayed Draw (9)(16)(21)(23)",,Healthcare & Pharmaceuticals,,0.00 Unfunded,,2/1/21,,6429,,,(27,,,114,,,,
8,ChyronHego Corporation (18),,High Tech Industries,,"7.43 (1M L+643, 1.00 Floor)",,3/9/20,,36208,,,35697,,,35484,,,,
9,Dodge Data & Analytics LLC,,Business Services,,"9.94 (3M L+875, 1.00 Floor)",,10/31/19,,51234,,,50647,,,49825,,,,
10,ECN Holding Company (Emergency Communications Network) (16)(18),,High Tech Industries,,"9.50 (2M L+850, 1.00 Floor)",,6/12/21,,22190,,,21944,,,22040,,,,
11,GFRC Holdings LLC (f/k/a Garden Fresh Restaurant Group. Inc.),,"Hotel, Gaming, Leisure, Restaurants",,"10.50 (1M L+900 Cash (L+900 PIK Toggle), 1.50 Floor)",,2/1/22,,2500,,,2500,,,2375,,,,
12,"Invuity, Inc. (9)(16)",,Healthcare & Pharmaceuticals,,"8.00 (1M L+650, 1.50 Floor)",,3/1/22,,6667,,,6558,,,6539,,,,
13,"Invuity, Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",,Healthcare & Pharmaceuticals,,0.00 Unfunded,,3/1/22,,3333,,,(16,,,(64,,,,
14,LabVantage Solutions Inc.,,High Tech Industries,,"9.00 (3M L+800, 1.00 Floor)",,12/29/20,,14438,,,14085,,,14293,,,,
15,LabVantage Solutions Limited (16)(17),,High Tech Industries,,"9.00 (3M E+800, 1.00 Floor)",,12/29/20,,€,13226.0,,,13852,,,14004,,,
16,"Magnetation, LLC (14)(16)",,Metals & Mining,,12.00 PIK,,12/31/19,,12527,,,10378,,,0,,,,
17,"Magnetation, LLC (14)(16)",,Metals & Mining,,9.15 (3M L+800 Cash (PIK Toggle)),,12/31/19,,2081,,,2050,,,705,,,,
18,"Maxus Capital Carbon SPE I, LLC",,"Chemicals, Plastics & Rubber",,5.22 PIK,,12/31/18,,59305,,,59305,,,50585,,,,
19,"My Alarm Center, LLC, Term Loan A (16)",,Business Services,,"9.00 (1M L+800, 1.00 Floor)",,1/9/19,,28035,,,28035,,,28035,,,,
20,"My Alarm Center, LLC, Term Loan B (16)(23)",,Business Services,,"9.00 (1M L+800, 1.00 Floor)",,1/9/19,,8320,,,8320,,,8320,,,,
