,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
0,"Advertising, Printing & Publishing",,,,,,,,
1,Learfield Communications,,,,,,,,
2,A-L Parent LLC,Second Lien Secured Debt,"8.25% (1M L+725, 1.00% Floor)",12/02/24,5536,5503,4882,,
3,"Simplifi Holdings, Inc.",,,,,,,,
4,"Simplifi Holdings, Inc.",First Lien Secured Debt,"7.20% (3M L+575, 1.00% Floor)",08/02/25,38829,38188,37164,(9),
5,"Simplifi Holdings, Inc.",First Lien Secured Debt - Revolver,"7.20% (1M L+575, 1.00% Floor)",08/02/25,1200,1200,1148,(9)(23),
6,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,08/02/25,1200,(49),(51),(8)(9)(21)(23),
7,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,08/02/25,6091,(57),(187),(8)(9)(21)(23),
8,Aerospace & Defense,,,,,,,,
9,Erickson Inc,,,,,,,,
10,Erickson Inc,First Lien Secured Debt - Revolver,"9.41% (3M L+750, 1.50% Floor)",04/28/22,31812,31812,31096,(9)(23),
11,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/28/22,7425,(233),(167),(8)(9)(21)(23),
12,Erickson Inc,First Lien Secured Debt - Letters of Credit,7.50%,04/30/20 - 07/15/22,1263,-,(27),(8)(9)(23),
13,PAE Holding Corporation,,,,,,,,
14,PAE Holding Corporation,Second Lien Secured Debt,"10.50% (1M L+950, 1.00% Floor)",10/20/23,13637,13462,12353,,
15,Automotive,,,,,,,,
16,Accelerate Parent Corp. (American Tire),,,,,,,,
17,Accelerate Parent Corp.,Common Equity/Interests - Common Stock,N/A,N/A,"1,664,046 Shares",1714,250,(13)(19),
18,Arlington,,,,,,,,
19,Arlington Industries Group Limited,First Lien Secured Debt,"5.75% (1M E+525, 0.50% Floor)",03/29/24,3189,3572,3309,(9)(17),
20,Arlington Industries Group Limited,First Lien Secured Debt,"5.87% (1M GBPL+525, 0.50% Floor)",03/29/24,7818,9972,9204,(9)(17),
21,Arlington Industries Group Limited,First Lien Secured Debt - Unfunded Revolver,1.25% Unfunded,03/29/24,2700,(57),(191),(8)(9)(17)(21)(23),
22,Arlington Industries Group Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,03/29/24,1300,(28),(77),(8)(9)(17)(21)(23),
