,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25
0,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,
1,Learfield Communications,,,,,,,,,,,,,,,,,,,,,,,,
2,A-L Parent LLC,,,Second Lien Secured Debt,,,"8.25 (1M L+725, 1.00 Floor)",,12/02/24,,,5536,,,,5503.0,,,,,4882,,,,
3,"Simplifi Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,
4,"Simplifi Holdings, Inc.",,,First Lien Secured Debt,,,"7.20 (3M L+575, 1.00 Floor)",,08/02/25,,38829,,,38188,,,,37164,,,(9),,,,
5,,,First Lien Secured Debt - Revolver,,,"7.20 (1M L+575, 1.00 Floor)",,08/02/25,,1200,,,1200,,,,1148,,,(9)(23),,,,,
6,,,First Lien Secured Debt - Unfunded Revolver,,,0.50 Unfunded,,08/02/25,,1200,,,(49),,,,(51),,,(8)(9)(21)(23),,,,,
7,,,First Lien Secured Debt - Unfunded Delayed Draw,,,0.50 Unfunded,,08/02/25,,6091,,,(57),,,,(187),,,(8)(9)(21)(23),,,,,
8,,,,,,,,,,,39282,,,,38074,,,,,,,,,,
9,"Total Advertising, Printing & Publishing",,,,,,,,,,,,44785,,,,,42956,,,,,,,
10,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,
11,Erickson Inc,,,,,,,,,,,,,,,,,,,,,,,,
12,Erickson Inc,,,First Lien Secured Debt - Revolver,,,"9.41 (3M L+750, 1.50 Floor)",,04/28/22,,,31812,,,,31812.0,,,,,31096,,,(9)(23),
13,,,First Lien Secured Debt - Unfunded Revolver,,,0.50 Unfunded,,04/28/22,,7425,,,(233),,,,(167),,,(8)(9)(21)(23),,,,,
14,,,First Lien Secured Debt - Letters of Credit,,,7.50,,04/30/20 - 07/15/22,,,1263,,,0,,,,(27),,,(8)(9)(23),,,,
15,,,,,,,,,,,31579,,,,30902,,,,,,,,,,
16,PAE Holding Corporation,,,,,,,,,,,,,,,,,,,,,,,,
17,PAE Holding Corporation,,,Second Lien Secured Debt,,,"10.50 (1M L+950, 1.00 Floor)",,10/20/23,,13637,,,13462,,,,12353,,,,,,,
18,Total Aerospace & Defense,,,,,,,,,,,,45041,,,,,43255,,,,,,,
19,Automotive,,,,,,,,,,,,,,,,,,,,,,,,
20,Accelerate Parent Corp. (American Tire),,,,,,,,,,,,,,,,,,,,,,,,
