,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Non-Controlled/Non-Affiliated Investments,,,,,,,,,,,,,,,,,
1,Corporate Debt,,,,,,,,,,,,,,,,,
2,Secured Debt,,,,,,,,,,,,,,,,,
3,First Lien Secured Debt,,,,,,,,,,,,,,,,,
4,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,,,,,,,,,,,
5,"Aventine Renewable Energy Holdings, Inc.",,"Chemicals, Plastics & Rubber",,10.50 Cash (15.00 PIK Toggle),,9/22/17,,,16764.0,,,,19053.0,,,,15334.0
6,"Aveta, Inc. (16)",,Healthcare & Pharmaceuticals,,"9.75 (3M L+825, 1.50 Floor)",,12/12/17,,21367,,,21114,,,13461,,,
7,"Aveta, Inc. (16)",,Healthcare & Pharmaceuticals,,"9.75 (3M L+825, 1.50 Floor)",,12/12/17,,15533,,,15315,,,9786,,,
8,"Belk, Inc.",,Retail,,"5.75 (6M L+475, 1.00 Floor)",,12/12/22,,1866,,,1610,,,1660,,,
9,ChyronHego Corporation (18),,High Tech Industries,,"6.63 (3M L+563, 1.00 Floor)",,3/9/20,,32225,,,31684,,,31580,,,
10,"Deep Gulf Energy II, LLC",,Energy – Oil & Gas,,"14.50 (3M L+1300, 1.50 Floor)",,9/30/18,,25000,,,25000,,,22500,,,
11,"Delta Educational Systems, Inc. (16)",,Education,,"16.00 (3M L+1400 PIK, 2.00 Floor)",,12/11/16,,6784,,,6784,,,6784,,,
12,Dodge Data & Analytics LLC,,Business Services,,"9.75 (3M L+875, 1.00 Floor)",,10/31/19,,53125,,,52316,,,51664,,,
13,ECN Holding Company (Emergency Communications Network) (16)(18),,High Tech Industries,,"8.00 (3M L+700, 1.00 Floor)",,6/12/21,,11166,,,11017,,,10786,,,
14,ECN Holding Company (Emergency Communications Network) (16)(18),,High Tech Industries,,"8.00 (6M L+700, 1.00 Floor)",,6/12/21,,11166,,,11017,,,10786,,,
15,LabVantage Solutions Inc.,,High Tech Industries,,"9.00 (3M L+800, 1.00 Floor)",,12/29/20,,14906,,,14445,,,14422,,,
16,LabVantage Solutions Limited (16)(17),,High Tech Industries,,"9.00 (3M E+800, 1.00 Floor)",,12/29/20,,€,13656.0,,,14221,,,15055,,
17,"Magnetation, LLC (14)",,Metals & Mining,,12.00 PIK,,7/7/16,,13466,,,12427,,,1687,,,
18,"Maxus Capital Carbon SPE I, LLC",,"Chemicals, Plastics & Rubber",,13.00,,12/31/18,,59305,,,59305,,,58569,,,
19,"My Alarm Center, LLC, Term Loan A (16)",,Business Services,,"9.00 (1M L+800, 1.00 Floor)",,1/9/19,,28035,,,28035,,,27545,,,
20,"My Alarm Center, LLC, Term Loan B (16)(23)",,Business Services,,"9.00 (1M L+800, 1.00 Floor)",,1/9/19,,7774,,,7774,,,7638,,,
21,"My Alarm Center, LLC, Unfunded Term Loan B (8)(16)(21)(23)",,Business Services,,0.35 Unfunded,,1/9/19,,987,,,0,,,(17,,,
