,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (29),Fair Value (1)(30),,
0,"Advertising, Printing & Publishing",,,,,,,,
1,Learfield Communications,,,,,,,,
2,A-L Parent LLC,Second Lien Secured Debt,"8.25 (1M L+725, 1.00 Floor)",12/02/24,5536,5505,4307,,
3,"Simplifi Holdings, Inc.",,,,,,,,
4,"Simplifi Holdings, Inc.",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",08/02/25,38732,38121,37291,(9),
5,"Simplifi Holdings, Inc.",First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",08/02/25,1200,1200,1155,(9)(23),
6,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/02/25,1200,(47),(45),(8)(9)  (21)(23),
7,"Simplifi Holdings, Inc.",39274,38401,,,,,,
9,Aerospace & Defense,,,,,,,,
10,Erickson Inc,,,,,,,,
11,Erickson Inc,First Lien Secured Debt - Revolver,"9.00 (3M L+750, 1.50 Floor)",04/28/22,32479,32479,31748,(9)(23),
12,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/28/22,4274,(178),(96),(8)(9)  (21)(23),
13,Erickson Inc,First Lien Secured Debt - Letters of Credit,7.50,07/04/20 - 07/15/22,2247,1,(50),(8)(9)  (23),
15,Automotive,,,,,,,,
16,Accelerate Parent Corp. (American Tire),,,,,,,,
17,Accelerate Parent Corp.,Common Equity - Common Stock,N/A,N/A,"1,664,046 Shares",1714,0,(13)(19),
18,Arlington,,,,,,,,
19,Arlington Industries Group Limited,First Lien Secured Debt,"5.75 (1M E+525, 0.50 Floor)",03/29/24,€,2653,2975,2793,(9)(17)
20,Arlington Industries Group Limited,First Lien Secured Debt,"5.75 (1M GBPL+525, 0.50 Floor)",03/29/24,£,3627,4601,4201,(9)(17)
21,Arlington Industries Group Limited,7576,6994,,,,,,
22,Crowne Automotive,,,,,,,,
23,"Vari-Form Group, LLC",First Lien Secured Debt,L+11.00 (7.00 Cash plus 4.00 PIK),02/02/23,5859,901,762,(9)(13)  (14),
24,Vari-Form Inc.,First Lien Secured Debt,L+11.00 (7.00 Cash plus 4.00 PIK),02/02/23,2110,391,274,(9)(13)  (14),
25,Vari-Form Inc.,1292,1036,,,,,,
26,"K&N Parent, Inc.",,,,,,,,
