,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20
0,Non-Controlled/Non-Affiliated Investments,,,,,,,,,,,,,,,,,,
1,Corporate Debt,,,,,,,,,,,,,,,,,,
2,Secured Debt,,,,,,,,,,,,,,,,,,
3,First Lien Secured Debt,,,,,,,,,,,,,,,,,,
4,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,,,,,,,,,,,,
5,Altasciences / 9360-1367 Quebec Inc. (9)(16)(17),,Healthcare & Pharmaceuticals,,"7.55 (1M L+625, 1.00 Floor)",,6/9/23,,,2921.0,,,,2856,,,,2855,
6,Altasciences / 9360-1367 Quebec Inc. (9)(16)(17),,Healthcare & Pharmaceuticals,,"7.55 (3M L+625, 1.00 Floor)",,6/9/23,,C$,2436.0,,,1774,,,1834,,,
7,"Altasciences US Acquistion, Inc. (9)(16)",,Healthcare & Pharmaceuticals,,"7.55 (1M L+625, 1.00 Floor)",,6/9/23,,5275,,,5157,,,5156,,,,
8,"Altasciences US Acquistion, Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)(28)",,Healthcare & Pharmaceuticals,,0.50 Unfunded,,6/9/23,,2851,,,(35,,,(64,,,,
9,"American Media, Inc. (16)",,"Advertising, Printing & Publishing",,"8.80 (3M L+750, 1.00 Floor)",,8/24/20,,390,,,380,,,390,,,,
10,"American Media, Inc. (16)",,"Advertising, Printing & Publishing",,"8.80 (3M L+750, 1.00 Floor)",,8/24/20,,9482,,,9240,,,9482,,,,
11,"American Media, Inc. (16)",,"Advertising, Printing & Publishing",,"8.80 (3M L+750, 1.00 Floor)",,8/24/20,,5195,,,5064,,,5195,,,,
12,Aptevo Therapeutics Inc. (9)(16)(23),,Healthcare & Pharmaceuticals,,8.65 (1M L+760),,2/1/21,,8571,,,8634,,,8493,,,,
13,"Aptevo Therapeutics Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",,Healthcare & Pharmaceuticals,,0.00 Unfunded,,2/1/21,,6429,,,(27,,,(59,,,,
14,ChyronHego Corporation (18),,High Tech Industries,,"7.43 (3M L+643, 1.00 Floor)",,3/9/20,,35975,,,35539,,,35256,,,,
15,Dodge Data & Analytics LLC,,Business Services,,"10.06 (3M L+875, 1.00 Floor)",,10/31/19,,50478,,,50004,,,49090,,,,
16,GFRC Holdings LLC,,"Hotel, Gaming, Leisure, Restaurants",,"10.50 (1M L+900 Cash (L+900 PIK Toggle), 1.50 Floor)",,2/1/22,,2500,,,2500,,,2375,,,,
17,"Invuity, Inc. (9)(16)",,Healthcare & Pharmaceuticals,,"8.00 (1M L+650, 1.50 Floor)",,3/1/22,,6667,,,6578,,,6539,,,,
18,"Invuity, Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",,Healthcare & Pharmaceuticals,,0.00 Unfunded,,3/1/22,,3333,,,(16,,,(17,,,,
19,KLO / 9357-5991 Quebec Inc,,Consumer Goods – Durable,,"9.00 (1M L+775, 0.75 Floor)",,4/7/22,,9500,,,9387,,,9386,,,,
