,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity  Date,Par / Shares (12),Cost (30),Fair  Value (1) (31),,
0,"Advertising, Printing & Publishing","Advertising, Printing & Publishing",,,,,,,,
1,,A-L Parent LLC,Second Lien Secured Debt,"9.35 (1M L+725, 1.00 Floor)",12/02/24,5536,5489,5591,,
2,,"American Media, Inc.",First Lien Secured Debt,"11.36 (3M L+900, 1.00 Floor)",08/24/20,12699,12475,13080,,
3,,"American Media, Inc.",First Lien Secured Debt - Revolver,12.00 (P+700),08/24/20,178,178,183,(23),
4,,"American Media, Inc.",First Lien Secured Debt - Revolver,10.34 (3M L+800),08/24/20,533,533,549,(23),
5,,"American Media, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/24/20,1067,(29,0,(21)(23),
6,,"American Media, Inc.",13157,13812,,,,,,
7,,"Simplifi Holdings, Inc.",First Lien Secured Debt,"7.59 (1M L+550, 1.00 Floor)",09/28/22,25556,25053,25300,(9),
8,,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/28/22,2400,(61,(24,(8)(9)(21)(23),
9,,"Simplifi Holdings, Inc.",24992,25276,,,,,,
11,Aerospace & Defense,Aerospace & Defense,,,,,,,,
12,,Erickson Inc,First Lien Secured Debt - Revolver,"9.84 (3M L+750, 1.00 Floor)",04/28/22,26014,26014,25429,(9)(23),
13,,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/28/22,12124,(412,(273,(8)(9)(21)(23),
14,,Erickson Inc,First Lien Secured Debt - Letters of Credit,7.50,8/16/18 - 4/30/20,6862,0,(153,(8)(9)(23),
15,,Erickson Inc,25602,25003,,,,,,
16,,ILC Dover LP,Second Lien Secured Debt,"10.84 (3M L+850, 1.00 Floor)",06/28/24,20000,19583,19550,,
17,,PAE Holding Corporation,Second Lien Secured Debt,"11.59 (1M L+950, 1.00 Floor)",10/20/23,28097,27451,28272,(10),
19,Automotive,Automotive,,,,,,,,
20,,Accelerate Parent Corp.,Common Equity/Interest - Common Stock,N/A,N/A,"1,664,046 Shares",1714,100,(13),
21,Crowne Automotive,Crowne Automotive,,,,,,,,
22,,"Vari-Form Group, LLC",First Lien Secured Debt,"13.33 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",02/02/23,4998,4862,4848,(9),
23,,Vari-Form Inc.,First Lien Secured Debt,"13.33 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",02/02/23,9997,9725,9697,(9),
24,,Vari-Form Inc.,14587,14545,,,,,,
25,,"K&N Parent, Inc.",Second Lien Secured Debt,"11.08 (3M L+875, 1.00 Floor)",10/21/24,26765,26336,26096,(10),
27,Aviation and Consumer Transport,Aviation and Consumer Transport,,,,,,,,
28,Merx Aviation,Merx Aviation,,,,,,,,
29,,Merx Aviation Finance Assets Ireland Limited (5),First Lien Secured Debt - Letters of Credit,2.25,09/30/18,3600,0,0,(23),
30,,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,12.00,10/31/23,450800,450800,450800,(23),
31,,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25,07/13/18,177,0,0,(23),
32,,"Merx Aviation Finance, LLC (5)",Common Equity/Interests - Membership Interests,N/A,N/A,N/A,15000,52001,,
34,"Beverage, Food & Tobacco","Beverage, Food & Tobacco",,,,,,,,
35,,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"8.84 (3M L+650, 1.00 Floor)",06/14/24,25000,24721,24719,(9),
37,Business Services,Business Services,,,,,,,,
38,,"Access CIG, LLC",Second Lien Secured Debt,9.84 (1M L+775),02/27/26,19931,19747,20056,(10),
39,,"Access CIG, LLC",Second Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,02/27/26,969,0,0,(10)(21)(23),
40,,"Access CIG, LLC",19747,20056,,,,,,
41,,Aero Operating LLC,First Lien Secured Debt,"9.34 (1M L+725, 1.00 Floor)",12/29/22,33267,32519,32935,(9),
42,,Aero Operating LLC,First Lien Secured Debt - Unfunded Revolver,1.00 Unfunded,12/29/22,4812,(43,(48,(8)(9)(21)(23),
43,,Aero Operating LLC,32476,32887,,,,,,
44,,"Almonde, Inc",Second Lien Secured Debt,"9.56 (3M L+725, 1.00 Floor)",06/13/25,2316,2296,2235,(10)(17),
45,,Ambrosia Buyer Corp.,Second Lien Secured Debt,"10.09 (1M L+ 800, 1.00 Floor)",08/28/25,21429,20950,20948,,
46,,"Aptean, Inc.",Second Lien Secured Debt,"11.83 (3M L+950, 1.00 Floor)",12/20/23,11148,11050,11217,(10),
47,,"CT Technologies Intermediate Holdings, Inc",Second Lien Secured Debt,"11.09 (1M L+900, 1.00 Floor)",12/01/22,31253,30511,30315,(9),
48,,Electro Rent Corporation,Second Lien Secured Debt,"11.31 (3M L+900, 1.00 Floor)",01/31/25,18333,17880,17967,(9),
49,,Electro Rent Corporation,Second Lien Secured Debt,"11.33 (3M L+900, 1.00 Floor)",01/31/25,18265,17766,17899,(9),
50,,Electro Rent Corporation,35646,35866,,,,,,
