,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
0,"Advertising, Printing & Publishing",,,,,,,,
1,A-L Parent LLC,Second Lien Secured Debt,"9.66% (1M L+725, 1.00% Floor)",12/02/24,5536,5498,5501,(10),
2,"Simplifi Holdings, Inc.",First Lien Secured Debt,"7.40% (1M L+500, 1.00% Floor)",09/28/22,24691,24317,24444,(9),
3,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/28/22,2400,(47),(24),(8)(9)(21)(23),
4,Aerospace & Defense,,,,,,,,
5,Erickson Inc,First Lien Secured Debt - Revolver,"9.82% (3M L+750, 1.00% Floor)",04/28/22,30313,30313,29782,(9)(23),
6,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/28/22,8251,(318),(144),(8)(9)(21)(23),
7,Erickson Inc,First Lien Secured Debt - Letters of Credit,7.50%,7/15/19 - 10/01/20,6436,-,(113),(8)(9)(23),
8,ILC Dover LP,Second Lien Secured Debt,"10.70% (6M L+850, 1.00% Floor)",06/28/24,20000,19652,19650,,
9,PAE Holding Corporation,Second Lien Secured Debt,"11.83% (3M L+950, 1.00% Floor)",10/20/23,28097,27570,27745,(10),
10,Automotive,,,,,,,,
11,Accelerate Parent Corp.,Common Equity/Interests - Common Stock,N/A,N/A,"1,664,046 Shares",1714,-,(13)(28),
12,Arlington Industries Group Limited,First Lien Secured Debt,"5.97% (1M GBP L+525, 0.50% Floor)",03/29/24,1300,1637,1622,(9)(17),
13,Arlington Industries Group Limited,First Lien Secured Debt,"5.97% (1M GBP L+525, 0.50% Floor)",03/29/24,6780,8629,8461,(9)(17),
14,Arlington Industries Group Limited,First Lien Secured Debt,"5.25% (1M E L+525, 0.50% Floor)",03/29/24,3297,3693,3682,(9)(17),
15,Arlington Industries Group Limited,First Lien Secured Debt - Revolver,"5.97% (1M GBP L+525, 0.50% Floor)",03/29/24,687,871,858,(9)(17)(23),
16,Arlington Industries Group Limited,First Lien Secured Debt - Unfunded Revolver,1.25% Unfunded,03/29/24,1104,(68),(27),(8)(9)(17)(21)(23),
17,Arlington Industries Group Limited,First Lien Secured Debt - Revolver,"5.25% (1M E L+525, 0.50% Floor)",03/29/24,1027,1155,1147,(9)(17)(23),
18,Arlington Industries Group Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,03/29/24,1300,(33),(32),(8)(9)(17)(21)(23),
19,Crowne Automotive,,,,,,,,
